InterpolatedX1	
565.903077843515	0.00801986186088908
566.296870892915	0.00799319327054215
566.690663942325	0.00796661489660439
567.084456991757	0.00794021695548499
567.478250041220	0.00791408966359312
567.872043090725	0.00788832323733797
568.265836140284	0.00786300789312871
568.659629189906	0.00783823384737451
569.053422239603	0.00781409131648457
569.447215289384	0.00779067051686805
569.841008339260	0.00776806166493414
570.234801389243	0.00774635497709201
570.628594439342	0.00772564066975084
571.022387489568	0.0077060089593198
571.416180539933	0.00768755006220809
571.809973590445	0.00767035419482487
572.203766641117	0.00765451157357933
572.597559691958	0.00764011241488064
572.991352742979	0.00762724693513797
573.385145794191	0.00761600535076052
573.778938845605	0.00760647787815745
574.172731897230	0.00759875473373795
574.566524949078	0.00759292613391119
574.960318001160	0.00758908229508636
575.354111053485	0.00758731343367262
575.747904106064	0.00758770976607916
576.141697158908	0.00759036150871516
576.535490212028	0.0075953588779898
576.929283265434	0.00760279209031224
577.323076319138	0.00761275136209168
577.716869373148	0.00762532690973729
578.110662427476	0.00764060894965824
578.504455482133	0.00765868769826372
578.898248537129	0.00767965337196291
579.292041592475	0.00770359618716498
579.685834648181	0.00773060636027911
580.079627704258	0.00776077410771448
580.473420760717	0.00779418964588026
580.867213817568	0.00783094319118564
581.261006874822	0.0078711249600398
581.654799932489	0.00791482516885191
582.048592990580	0.00796213403403114
582.442386049106	0.00801314177198669
582.836179108077	0.00806793859912772
583.229972167503	0.00812661473186342
583.623765227396	0.00818926038660296
584.017558287767	0.00825596577975552
584.411351348624	0.00832682112773029
584.805144409980	0.00840191664693643
585.198937471844	0.00848134255378313
585.592730534228	0.00856518906467956
585.986523597142	0.0086535463960349
586.380316660596	0.00874650476425834
586.774109724602	0.00884415438575905
587.167902789169	0.0089465854769462
587.561695854309	0.00905388825422898
587.955488920031	0.00916615293401657
588.349281986348	0.00928346973271814
588.743075053268	0.00940592886674286
589.136868120803	0.00953362055249993
589.530661188964	0.00966663500639852
589.924454257760	0.0098050624448478
590.318247327203	0.00994899308425695
590.712040397187	0.0100985851833753
591.105833466572	0.0102546033194512
591.499626533673	0.0104181303377474
591.893419596802	0.0105902519007488
592.287212654271	0.0107720536709402
592.681005704391	0.0109646213108063
593.074798745473	0.011169040482832
593.468591775828	0.0113863968495019
593.862384793769	0.011617776073301
594.256177797606	0.0118642638167139
594.649970785651	0.0121269457422255
595.043763756215	0.0124069075123206
595.437556707610	0.0127052347894839
595.831349638147	0.0130230132362003
596.225142546137	0.0133613285149545
596.618935429892	0.0137212662882312
597.012728287723	0.0141039122185154
